Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060595,-,b'Idaho',b'United States',44.24,-115.07,0,2043,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,GHI,DNI
2020,1,1,0,0,4,4,0
2020,1,1,0,10,0,0,0
2020,1,1,0,20,0,0,0
2020,1,1,0,30,0,0,0
2020,1,1,0,40,0,0,0
2020,1,1,0,50,0,0,0
2020,1,1,1,0,0,0,0
2020,1,1,1,10,0,0,0
2020,1,1,1,20,0,0,0
2020,1,1,1,30,0,0,0
2020,1,1,1,40,0,0,0
2020,1,1,1,50,0,0,0
2020,1,1,2,0,0,0,0
2020,1,1,2,10,0,0,0
2020,1,1,2,20,0,0,0
2020,1,1,2,30,0,0,0
2020,1,1,2,40,0,0,0
2020,1,1,2,50,0,0,0
2020,1,1,3,0,0,0,0
2020,1,1,3,10,0,0,0
2020,1,1,3,20,0,0,0
2020,1,1,3,30,0,0,0
2020,1,1,3,40,0,0,0
2020,1,1,3,50,0,0,0
2020,1,1,4,0,0,0,0
2020,1,1,4,10,0,0,0
2020,1,1,4,20,0,0,0
2020,1,1,4,30,0,0,0
2020,1,1,4,40,0,0,0
2020,1,1,4,50,0,0,0
2020,1,1,5,0,0,0,0
2020,1,1,5,10,0,0,0
2020,1,1,5,20,0,0,0
2020,1,1,5,30,0,0,0
2020,1,1,5,40,0,0,0
2020,1,1,5,50,0,0,0
2020,1,1,6,0,0,0,0
2020,1,1,6,10,0,0,0
2020,1,1,6,20,0,0,0
2020,1,1,6,30,0,0,0
2020,1,1,6,40,0,0,0
2020,1,1,6,50,0,0,0
2020,1,1,7,0,0,0,0
2020,1,1,7,10,0,0,0
2020,1,1,7,20,0,0,0
2020,1,1,7,30,0,0,0
2020,1,1,7,40,0,0,0
2020,1,1,7,50,0,0,0
2020,1,1,8,0,0,0,0
2020,1,1,8,10,0,0,0
2020,1,1,8,20,0,0,0
2020,1,1,8,30,0,0,0
2020,1,1,8,40,0,0,0
2020,1,1,8,50,0,0,0
2020,1,1,9,0,0,0,0
2020,1,1,9,10,0,0,0
2020,1,1,9,20,0,0,0
2020,1,1,9,30,0,0,0
2020,1,1,9,40,0,0,0
2020,1,1,9,50,0,0,0
2020,1,1,10,0,0,0,0
2020,1,1,10,10,0,0,0
2020,1,1,10,20,0,0,0
2020,1,1,10,30,0,0,0
2020,1,1,10,40,0,0,0
2020,1,1,10,50,0,0,0
2020,1,1,11,0,0,0,0
2020,1,1,11,10,0,0,0
2020,1,1,11,20,0,0,0
2020,1,1,11,30,0,0,0
2020,1,1,11,40,0,0,0
2020,1,1,11,50,0,0,0
2020,1,1,12,0,0,0,0
2020,1,1,12,10,0,0,0
2020,1,1,12,20,0,0,0
2020,1,1,12,30,0,0,0
2020,1,1,12,40,0,0,0
2020,1,1,12,50,0,0,0
2020,1,1,13,0,0,0,0
2020,1,1,13,10,0,0,0
2020,1,1,13,20,0,0,0
2020,1,1,13,30,0,0,0
2020,1,1,13,40,0,0,0
2020,1,1,13,50,0,0,0
2020,1,1,14,0,0,0,0
2020,1,1,14,10,0,0,0
2020,1,1,14,20,0,0,0
2020,1,1,14,30,0,0,0
2020,1,1,14,40,0,0,0
2020,1,1,14,50,0,0,0
2020,1,1,15,0,0,0,0
2020,1,1,15,10,0,0,0
2020,1,1,15,20,0,0,0
2020,1,1,15,30,9,9,0
2020,1,1,15,40,17,17,0
2020,1,1,15,50,24,24,0
2020,1,1,16,0,24,24,0
2020,1,1,16,10,36,36,0
2020,1,1,16,20,42,42,0
2020,1,1,16,30,50,50,0
2020,1,1,16,40,58,58,0
2020,1,1,16,50,61,61,0
2020,1,1,17,0,71,71,0
2020,1,1,17,10,73,73,0
2020,1,1,17,20,80,80,0
2020,1,1,17,30,92,92,0
2020,1,1,17,40,109,113,15
2020,1,1,17,50,74,74,0
2020,1,1,18,0,119,125,16
