Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1
KSNT,04/15/2020 05:51 UTC,3.44,
KSNT,04/15/2020 06:51 UTC,3.44,260
KSNT,04/15/2020 07:51 UTC,0,0
KSNT,04/15/2020 08:51 UTC,0,0
KSNT,04/15/2020 09:51 UTC,0,0
KSNT,04/15/2020 10:51 UTC,0,0
KSNT,04/15/2020 11:51 UTC,0,0
KSNT,04/15/2020 12:51 UTC,0,0
KSNT,04/15/2020 13:51 UTC,0,0
KSNT,04/15/2020 14:51 UTC,NULL,NULL
KSNT,04/15/2020 15:51 UTC,NULL,NULL
KSNT,04/15/2020 16:51 UTC,NULL,NULL
KSNT,04/15/2020 17:51 UTC,6.91,340
KSNT,04/15/2020 18:51 UTC,11.5,320
KSNT,04/15/2020 19:51 UTC,17.27,20
KSNT,04/15/2020 20:51 UTC,0,0
KSNT,04/15/2020 21:51 UTC,0,0
KSNT,04/15/2020 22:51 UTC,4.61,
KSNT,04/15/2020 23:51 UTC,3.44,
KSNT,04/16/2020 00:51 UTC,3.44,340
KSNT,04/16/2020 01:51 UTC,3.44,350
KSNT,04/16/2020 02:51 UTC,3.44,
KSNT,04/16/2020 03:51 UTC,3.44,
KSNT,04/16/2020 04:51 UTC,0,0
KSNT,04/16/2020 05:51 UTC,5.75,350
KSNT,04/16/2020 06:51 UTC,8.05,350
KSNT,04/16/2020 07:51 UTC,4.61,
KSNT,04/16/2020 08:51 UTC,0,0
KSNT,04/16/2020 09:51 UTC,6.91,30
KSNT,04/16/2020 10:51 UTC,4.61,340
KSNT,04/16/2020 11:51 UTC,0,0
KSNT,04/16/2020 12:51 UTC,3.44,
KSNT,04/16/2020 13:51 UTC,0,0
KSNT,04/16/2020 14:51 UTC,0,0
KSNT,04/16/2020 15:51 UTC,6.91,340
KSNT,04/16/2020 16:51 UTC,5.75,340
KSNT,04/16/2020 17:51 UTC,4.61,
KSNT,04/16/2020 18:51 UTC,,
KSNT,04/16/2020 19:51 UTC,8.05,350
KSNT,04/16/2020 20:51 UTC,6.91,340
KSNT,04/16/2020 21:51 UTC,6.91,340
KSNT,04/16/2020 22:51 UTC,4.61,340
KSNT,04/16/2020 23:51 UTC,6.91,330
KSNT,04/17/2020 00:51 UTC,5.75,330
KSNT,04/17/2020 01:51 UTC,0,0
KSNT,04/17/2020 02:51 UTC,0,0
KSNT,04/17/2020 03:51 UTC,0,0
KSNT,04/17/2020 04:51 UTC,0,0
KSNT,04/17/2020 05:51 UTC,3.44,180
KSNT,04/17/2020 06:51 UTC,4.61,170
KSNT,04/17/2020 07:51 UTC,5.75,180
KSNT,04/17/2020 08:51 UTC,0,0
KSNT,04/17/2020 09:51 UTC,3.44,
KSNT,04/17/2020 10:51 UTC,4.61,110
KSNT,04/17/2020 11:51 UTC,0,0
KSNT,04/17/2020 12:51 UTC,0,0
KSNT,04/17/2020 13:51 UTC,0,0
KSNT,04/17/2020 14:51 UTC,0,0
KSNT,04/17/2020 15:51 UTC,0,0
KSNT,04/17/2020 16:51 UTC,5.75,350
KSNT,04/17/2020 17:51 UTC,4.61,350
KSNT,04/17/2020 18:51 UTC,4.61,350
KSNT,04/17/2020 19:51 UTC,4.61,330
KSNT,04/17/2020 20:51 UTC,4.61,360
KSNT,04/17/2020 21:51 UTC,6.91,360
KSNT,04/17/2020 22:51 UTC,5.75,360
KSNT,04/17/2020 23:51 UTC,5.75,350
KSNT,04/18/2020 00:51 UTC,3.44,50
KSNT,04/18/2020 01:51 UTC,0,0
KSNT,04/18/2020 02:51 UTC,0,0
KSNT,04/18/2020 03:51 UTC,3.44,
KSNT,04/18/2020 04:51 UTC,0,0
KSNT,04/18/2020 05:51 UTC,0,0
KSNT,04/18/2020 06:51 UTC,5.75,100
KSNT,04/18/2020 07:51 UTC,0,0
KSNT,04/18/2020 08:51 UTC,0,0
KSNT,04/18/2020 09:51 UTC,0,0
KSNT,04/18/2020 10:51 UTC,0,0
KSNT,04/18/2020 11:51 UTC,0,0
KSNT,04/18/2020 12:51 UTC,0,0
KSNT,04/18/2020 13:51 UTC,3.44,100
KSNT,04/18/2020 14:51 UTC,0,0
KSNT,04/18/2020 15:51 UTC,0,0
KSNT,04/18/2020 16:51 UTC,0,0
KSNT,04/18/2020 17:51 UTC,3.44,340
KSNT,04/18/2020 18:51 UTC,4.61,350
KSNT,04/18/2020 19:51 UTC,10.36,320
KSNT,04/18/2020 20:51 UTC,,
KSNT,04/18/2020 21:51 UTC,9.22,260
KSNT,04/18/2020 22:51 UTC,3.44,
KSNT,04/18/2020 23:51 UTC,8.05,280
KSNT,04/19/2020 00:51 UTC,9.22,310
KSNT,04/19/2020 01:51 UTC,0,0
KSNT,04/19/2020 02:51 UTC,0,0
KSNT,04/19/2020 03:51 UTC,6.91,
KSNT,04/19/2020 04:51 UTC,0,0
KSNT,04/19/2020 05:51 UTC,3.44,200
KSNT,04/19/2020 06:51 UTC,3.44,150
KSNT,04/19/2020 07:51 UTC,0,0
KSNT,04/19/2020 08:51 UTC,0,0
KSNT,04/19/2020 09:51 UTC,0,0
KSNT,04/19/2020 10:51 UTC,0,0
KSNT,04/19/2020 11:51 UTC,0,0
KSNT,04/19/2020 12:51 UTC,0,0
KSNT,04/19/2020 13:51 UTC,4.61,100
KSNT,04/19/2020 14:51 UTC,5.75,120
KSNT,04/19/2020 15:51 UTC,4.61,330
KSNT,04/19/2020 16:51 UTC,4.61,360
KSNT,04/19/2020 17:51 UTC,4.61,340
KSNT,04/19/2020 18:51 UTC,6.91,360
KSNT,04/19/2020 19:51 UTC,8.05,320
KSNT,04/19/2020 20:51 UTC,6.91,340
KSNT,04/19/2020 21:51 UTC,5.75,330
KSNT,04/19/2020 22:51 UTC,4.61,10
KSNT,04/19/2020 23:51 UTC,6.91,340
KSNT,04/20/2020 00:51 UTC,4.61,330
KSNT,04/20/2020 01:51 UTC,3.44,300
KSNT,04/20/2020 02:51 UTC,3.44,180
KSNT,04/20/2020 03:51 UTC,4.61,190
KSNT,04/20/2020 04:51 UTC,3.44,
KSNT,04/20/2020 05:51 UTC,4.61,160
KSNT,04/20/2020 06:51 UTC,3.44,170
KSNT,04/20/2020 07:51 UTC,0,0
KSNT,04/20/2020 08:51 UTC,3.44,150
KSNT,04/20/2020 09:51 UTC,0,0
KSNT,04/20/2020 10:51 UTC,3.44,180
KSNT,04/20/2020 11:51 UTC,0,0
KSNT,04/20/2020 12:51 UTC,3.44,150
KSNT,04/20/2020 13:51 UTC,5.75,70
KSNT,04/20/2020 14:51 UTC,0,0
KSNT,04/20/2020 15:51 UTC,0,0
KSNT,04/20/2020 16:51 UTC,0,0
KSNT,04/20/2020 17:51 UTC,3.44,350
KSNT,04/20/2020 18:51 UTC,5.75,350
KSNT,04/20/2020 19:51 UTC,4.61,350
KSNT,04/20/2020 20:51 UTC,6.91,340
KSNT,04/20/2020 21:51 UTC,6.91,340
KSNT,04/20/2020 22:51 UTC,6.91,340
KSNT,04/20/2020 23:51 UTC,5.75,350
KSNT,04/21/2020 00:51 UTC,4.61,330
KSNT,04/21/2020 01:51 UTC,3.44,320
KSNT,04/21/2020 02:51 UTC,0,0
KSNT,04/21/2020 03:51 UTC,0,0
KSNT,04/21/2020 04:51 UTC,4.61,170
KSNT,04/21/2020 05:51 UTC,5.75,180
KSNT,04/21/2020 06:51 UTC,5.75,170
KSNT,04/21/2020 07:51 UTC,0,0
KSNT,04/21/2020 08:51 UTC,0,0
KSNT,04/21/2020 09:51 UTC,0,0
KSNT,04/21/2020 10:51 UTC,0,0
KSNT,04/21/2020 11:51 UTC,3.44,160
KSNT,04/21/2020 12:51 UTC,3.44,180
KSNT,04/21/2020 13:51 UTC,4.61,90
KSNT,04/21/2020 14:51 UTC,0,0
KSNT,04/21/2020 15:51 UTC,0,0
KSNT,04/21/2020 16:51 UTC,3.44,360
KSNT,04/21/2020 17:51 UTC,5.75,340
KSNT,04/21/2020 18:51 UTC,5.75,340
KSNT,04/21/2020 19:51 UTC,8.05,350
KSNT,04/21/2020 20:51 UTC,9.22,340
KSNT,04/21/2020 21:51 UTC,9.22,350
